the_geom,OBJECTID,TYPE,Lat,Long
POINT (-71.07713801611911 42.349513134563516),300,LIGHT,42.34951313,-71.07713802
POINT (-71.07707275326267 42.34937904371848),301,LIGHT,42.34937904,-71.07707275
POINT (-71.07697751874413 42.34955185185961),302,LIGHT,42.34955185,-71.07697752
POINT (-71.07714052535019 42.3492468366837),303,LIGHT,42.34924684,-71.07714053
POINT (-71.07694460266926 42.349072700081635),304,LIGHT,42.3490727,-71.0769446
POINT (-71.07692771274958 42.348915709024986),305,LIGHT,42.34891571,-71.07692771
POINT (-71.07642325996684 42.34850391671695),306,LIGHT,42.34850392,-71.07642326
POINT (-71.07684504812289 42.34875979395449),307,LIGHT,42.34875979,-71.07684505
POINT (-71.07484264135829 42.34869370592986),308,LIGHT,42.34869371,-71.07484264
POINT (-71.07624854834383 42.3484325181786),309,LIGHT,42.34843252,-71.07624855
POINT (-71.07559705430899 42.34860879993083),310,LIGHT,42.3486088,-71.07559705
POINT (-71.07413527543684 42.34894140002595),311,LIGHT,42.3489414,-71.07413528
POINT (-71.07433814371869 42.34906658499378),312,LIGHT,42.34906659,-71.07433814
POINT (-71.07422265335556 42.34904704962462),313,LIGHT,42.34904705,-71.07422265
POINT (-71.07894254095123 42.35376696870514),314,LIGHT,42.35376697,-71.07894254
POINT (-71.07865194467271 42.3538454332879),315,LIGHT,42.35384543,-71.07865194
POINT (-71.07832330743814 42.35393300183609),316,LIGHT,42.353933,-71.07832331
POINT (-71.07797870259981 42.35402718740346),317,LIGHT,42.35402719,-71.0779787
POINT (-71.07799645568043 42.35386940282203),318,LIGHT,42.3538694,-71.07799646
POINT (-71.07856192163965 42.35371476385354),319,LIGHT,42.35371476,-71.07856192
POINT (-71.07826422857087 42.35379625253443),320,LIGHT,42.35379625,-71.07826423
POINT (-71.07889385534561 42.35362700052942),321,LIGHT,42.353627,-71.07889386
POINT (-71.07895864492377 42.353575189269506),322,LIGHT,42.35357519,-71.07895864
POINT (-71.07903299406732 42.35333623446362),323,LIGHT,42.35333623,-71.07903299
POINT (-71.07911920063397 42.35331047489337),324,LIGHT,42.35331047,-71.0791192
POINT (-71.07882886058157 42.353312510693435),325,LIGHT,42.35331251,-71.07882886
POINT (-71.07910547841972 42.353489336706886),326,LIGHT,42.35348934,-71.07910548
POINT (-71.07892148953653 42.35311091563125),327,LIGHT,42.35311092,-71.07892149
POINT (-71.07867544614892 42.352999919692614),328,LIGHT,42.35299992,-71.07867545
POINT (-71.07884636608028 42.35295781709503),329,LIGHT,42.35295782,-71.07884637
POINT (-71.07893562440528 42.352934312362706),330,LIGHT,42.35293431,-71.07893562
